Sample,Day,Species,Individual,Sample_ID,Differentiation_batch
D0_20157,0,human,20157,H1A,1
D0_20961,0,human,20961,H2,1
D0_21792,0,human,21792,H3,1
D0_28162,0,human,28162,H4,2
D0_28815,0,human,28815,H5A,1
D0_28815_0116,0,human,28815,H5B,2
D0_29089,0,human,29089,H6,2
D0_3647,0,chimp,3647,C1A,1
D0_3647_0116,0,chimp,3647,C1B,2
D0_3649,0,chimp,3649,C2A,1
D0_3649_0116,0,chimp,3649,C2B,2
D0_40300,0,chimp,40300,C3A,1
D0_40300_0116,0,chimp,40300,C3B,2
D0_4955,0,chimp,4955,C4A,1
D0_4955_0116,0,chimp,4955,C4B,2
D1_20157,1,human,20157,H1A,1
D1_20157_0116,1,human,20157,H1B,2
D1_20961,1,human,20961,H2,1
D1_21792,1,human,21792,H3,1
D1_28162,1,human,28162,H4,2
D1_28815,1,human,28815,H5A,1
D1_28815_0116,1,human,28815,H5B,2
D1_29089,1,human,29089,H6,2
D1_3647,1,chimp,3647,C1A,1
D1_3647_0116,1,chimp,3647,C1B,2
D1_3649 ,1,chimp,3649,C2A,1
D1_3649_0116,1,chimp,3649,C2B,2
D1_40300 ,1,chimp,40300,C3A,1
D1_40300_0116,1,chimp,40300,C3B,2
D1_4955 ,1,chimp,4955,C4A,1
D1_4955_0116,1,chimp,4955,C4B,2
D2_20157 ,2,human,20157,H1A,1
D2_20157_0116,2,human,20157,H1B,2
D2_20961,2,human,20961,H2,1
D2_21792,2,human,21792,H3,1
D2_28162,2,human,28162,H4,2
D2_28815,2,human,28815,H5A,1
D2_28815_0116,2,human,28815,H5B,2
D2_29089,2,human,29089,H6,2
D2_3647,2,chimp,3647,C1A,1
D2_3647_0116,2,chimp,3647,C1B,2
D2_3649,2,chimp,3649,C2A,1
D2_3649_0116,2,chimp,3649,C2B,2
D2_40300,2,chimp,40300,C3A,1
D2_40300_0116,2,chimp,40300,C3B,2
D2_4955,2,chimp,4955,C4A,1
D2_4955_0116,2,chimp,4955,C4B,2
D3_20157,3,human,20157,H1A,1
D3_20157_0116,3,human,20157,H1B,2
D3_20961,3,human,20961,H2,1
D3_21792,3,human,21792,H3,1
D3_28162,3,human,28162,H4,2
D3_28815,3,human,28815,H5A,1
D3_28815_0116,3,human,28815,H5B,2
D3_29089,3,human,29089,H6,2
D3_3647,3,chimp,3647,C1A,1
D3_3647_0116,3,chimp,3647,C1B,2
D3_3649,3,chimp,3649,C2A,1
D3_3649_0116,3,chimp,3649,C2B,2
D3_40300,3,chimp,40300,C3A,1
D3_40300_0116,3,chimp,40300,C3B,2
D3_4955,3,chimp,4955,C4A,1
D3_4955_0116,3,chimp,4955,C4B,2